circuit,n_qubits,method,swaps,twoq,depth,twoq_depth,fidelity,mean_2q_err,static_cost,wall_s,qiskit-o1_swaps,qiskit-o1_twoq,qiskit-o1_depth,qiskit-o1_fidelity,qiskit-o1_mean_2q_err,qiskit-o1_static_cost,qiskit-o3_swaps,qiskit-o3_twoq,qiskit-o3_depth,qiskit-o3_fidelity,qiskit-o3_mean_2q_err,qiskit-o3_static_cost
queko_BIGD/20QBT_45CYC_.0D1_.7D2_5,20,hybrid_sabre_adopted,94,493,395,493,0.041695183337843875,0.003627038798834528,668.0,0.342,94,493,395,0.041695183337843875,0.003627038798834528,668.0,80,405,358,0.07975268877368943,0.003453897673451149,870.0
queko_BIGD/20QBT_45CYC_.0D1_.7D2_6,20,hybrid_sabre_adopted,120,575,547,575,0.02627753969735703,0.0034370475947717353,714.0,0.349,120,575,547,0.02627753969735703,0.0034370475947717353,714.0,92,451,383,0.06228713798595898,0.0034690530751745317,736.0
queko_BIGD/20QBT_45CYC_.0D1_.7D2_7,20,hybrid_sabre_adopted,93,480,349,480,0.04776137099547016,0.003455460118445057,640.0,0.401,93,480,349,0.04776137099547016,0.003455460118445057,640.0,68,369,260,0.10793574119047836,0.0034378787509370327,734.0
queko_BIGD/20QBT_45CYC_.0D1_.7D2_8,20,rl_multistart_routed,106,531,398,531,0.03287467175743414,0.0034436983039589837,754.0,0.388,116,561,507,0.030504168264282962,0.003392704407479723,820.0,85,418,388,0.07601846309670873,0.0034461638409423842,800.0
queko_BIGD/20QBT_45CYC_.0D1_.7D2_9,20,hybrid_sabre_adopted,120,573,445,573,0.032711026404969784,0.0032472290973028046,998.0,0.347,120,573,445,0.032711026404969784,0.0032472290973028046,998.0,76,395,343,0.08444207875261377,0.0035191709941402955,770.0
queko_BIGD/20QBT_45CYC_.0D1_.8D2_0,20,hybrid_sabre_adopted,132,646,572,646,0.01800501636003133,0.003517715360412662,856.0,0.353,132,646,572,0.01800501636003133,0.003517715360412662,856.0,106,506,423,0.046186613861936045,0.0034405185619962603,1048.0
queko_BIGD/20QBT_45CYC_.0D1_.8D2_1,20,hybrid_sabre_adopted,133,623,509,623,0.022462616889019058,0.003416939380652183,802.0,0.629,133,623,509,0.022462616889019058,0.003416939380652183,802.0,103,475,436,0.05994307342459055,0.0033635308533052654,774.0
queko_BIGD/20QBT_45CYC_.0D1_.8D2_2,20,hybrid_sabre_adopted,139,653,543,653,0.017176249221662384,0.0035563217850837323,970.0,0.466,139,653,543,0.017176249221662384,0.0035563217850837323,970.0,100,476,360,0.048915980794388636,0.0035645242802919246,860.0
queko_BIGD/20QBT_45CYC_.0D1_.8D2_3,20,hybrid_sabre_adopted,120,590,466,590,0.02874848740024447,0.0034537065713664394,806.0,0.608,120,590,466,0.02874848740024447,0.0034537065713664394,806.0,92,446,399,0.06022108259416908,0.003561046002709727,944.0
queko_BIGD/20QBT_45CYC_.0D1_.8D2_4,20,hybrid_sabre_adopted,140,650,564,650,0.016770404814321297,0.0034863854495346264,1022.0,0.621,140,650,564,0.016770404814321297,0.0034863854495346264,1022.0,97,471,397,0.059439399859946895,0.003437571309886308,790.0
